strategies,memory,threshold,sigma,std
10,2,6000.0,0.0,4363.558273026236
10,2,6000.0,0.5,3067.4505184097893
10,2,6000.0,1.0,2505.0567449168293
10,2,6000.0,1.5,1856.5126000658215
10,2,6000.0,2.0,1478.8814020088194

10,2,6000.0,2.5,838.1117738261604
10,2,6000.0,3.0,424.2339355297927
10,2,6000.0,3.5,217.1256457065586
10,2,6000.0,4.0,28.575250067569062
10,2,6000.0,4.5,8.63098431757464
10,2,6000.0,5.0,5.526761268111882
10,2,6000.0,5.5,4.18159912786528
10,2,6000.0,6.0,1.877485085387974
10,2,6000.0,6.5,1.661575144011806
10,2,6000.0,7.0,0.6182412330330469
10,2,6000.0,7.5,2.869425487980453
10,2,6000.0,8.0,1.2294806326116
2,2,6000.0,2.5,0.19428090415820634
2,2,6000.0,3.0,0.24267032964268392
2,2,6000.0,3.5,0.28856180831641265
2,2,6000.0,4.0,0.249071198499986
2,2,6000.0,4.5,0.29428090415820635
2,2,6000.0,5.0,0.2
2,2,6000.0,5.5,0.13743685418725538
2,2,6000.0,6.0,0.28797307383108794
2,2,6000.0,6.5,0.1
2,2,6000.0,7.0,0.4259986625036681
2,2,6000.0,7.5,0.3942809041582064
2,2,6000.0,8.0,0.3062533575954547
4,2,6000.0,2.5,1.615906323109303
4,2,6000.0,3.0,1.1828600827632383
4,2,6000.0,3.5,0.16329931618554522
4,2,6000.0,4.0,1.2341699696933899
4,2,6000.0,4.5,0.5151604406875031
4,2,6000.0,5.0,0.3144660377352201
4,2,6000.0,5.5,0.6228575962293424
4,2,6000.0,6.0,0.19428090415820634
4,2,6000.0,6.5,0.28856180831641265
4,2,6000.0,7.0,0.5787693700234703
4,2,6000.0,7.5,0.5885618083164127
4,2,6000.0,8.0,0.4380056341013421
10,10,6000.0,2.5,0.8376274502114318
10,10,6000.0,3.0,1.4962694189886183
10,10,6000.0,3.5,1.1163162527687542
10,10,6000.0,4.0,0.9698552986183699
10,10,6000.0,4.5,0.7025648140288003
10,10,6000.0,5.0,0.4714045207910317
10,10,6000.0,5.5,0.8459169166869926
10,10,6000.0,6.0,0.09428090415820634
10,10,6000.0,6.5,0.8485890716606675
10,10,6000.0,7.0,0.540222956158771
10,10,6000.0,7.5,0.6628540186504553
10,10,6000.0,8.0,0.18856180831641267
10,20,6000.0,2.5,0.6531972647421809
10,20,6000.0,3.0,0.357378311724612
10,20,6000.0,3.5,0.8815164090928114
10,20,6000.0,4.0,0.42087953652929677
10,20,6000.0,4.5,0.4892979786892132
10,20,6000.0,5.0,0.6519973250073361
10,20,6000.0,5.5,1.146509743629823
10,20,6000.0,6.0,0.8059647296191361
10,20,6000.0,6.5,0.6772480313479268
10,20,6000.0,7.0,0.7657425075177302
10,20,6000.0,7.5,0.5344676824410207
10,20,6000.0,8.0,0.7281950114537922
